ts_utc,event_ticker,market_ticker,strike,side,count,price_cents,entry_cost,fee,p_yes,p_win_model,implied_q_chosen_side,break_even_prob,edge_prob,expected_pnl,outcome_yes,win,realized_pnl,source_event,skip_reason
2026-02-18T07:40:17.128093+00:00,KXBTCD-26FEB1803,KXBTCD-26FEB1803-T67999.99,67999.99,yes,1,34,0.35000000000000003,0.01,0.4051152597632135,0.4051152597632135,0.34,0.35000000000000003,0.055115259763213464,0.055115259763213464,,,,entry_filled,
2026-02-18T07:40:28.637344+00:00,KXBTCD-26FEB1803,KXBTCD-26FEB1803-T67999.99,67999.99,yes,1,34,0.35,0.01,0.40430003042980267,0.40430003042980267,0.34,0.35,0.05430003042980269,0.05430003042980269,,,,skip,already_entered_market
2026-02-18T07:40:51.813665+00:00,KXBTCD-26FEB1803,KXBTCD-26FEB1803-T67999.99,67999.99,yes,1,31,0.32,0.01,0.37544473711995296,0.37544473711995296,0.31,0.32,0.05544473711995296,0.05544473711995296,,,,skip,already_entered_market
2026-02-18T07:43:22.808983+00:00,KXBTCD-26FEB1803,KXBTCD-26FEB1803-T67999.99,67999.99,yes,1,29,0.3,0.01,0.36235678244366043,0.36235678244366043,0.29,0.3,0.06235678244366044,0.06235678244366044,,,,skip,already_entered_market
2026-02-18T07:46:52.093236+00:00,KXBTCD-26FEB1803,KXBTCD-26FEB1803-T67999.99,67999.99,yes,1,62,0.63,0.01,0.7074201755045034,0.7074201755045034,0.62,0.63,0.07742017550450342,0.07742017550450342,,,,skip,already_entered_market
2026-02-18T07:47:15.344095+00:00,KXBTCD-26FEB1803,KXBTCD-26FEB1803-T67999.99,67999.99,yes,1,75,0.76,0.01,0.8122838090661918,0.8122838090661918,0.75,0.76,0.05228380906619179,0.05228380906619179,,,,skip,already_entered_market
2026-02-18T08:29:29.595019+00:00,KXBTCD-26FEB1804,KXBTCD-26FEB1804-T68499.99,68499.99,no,1,81,0.82,0.01,0.12778983984665404,0.872210160153346,0.81,0.82,0.05221016015334601,0.05221016015334601,,,,skip,state_event_mismatch
2026-02-18T08:29:41.682351+00:00,KXBTCD-26FEB1804,KXBTCD-26FEB1804-T68499.99,68499.99,no,1,82,0.83,0.01,0.11768229581148637,0.8823177041885136,0.82,0.83,0.05231770418851367,0.05231770418851367,,,,skip,state_event_mismatch
2026-02-18T08:33:10.535820+00:00,KXBTCD-26FEB1804,KXBTCD-26FEB1804-T67999.99,67999.99,no,1,11,0.12,0.01,0.8233282539506828,0.17667174604931724,0.11,0.12,0.05667174604931724,0.05667174604931724,,,,skip,state_event_mismatch
2026-02-18T08:33:22.849242+00:00,KXBTCD-26FEB1804,KXBTCD-26FEB1804-T67999.99,67999.99,no,1,11,0.12,0.01,0.8258776547149815,0.17412234528501846,0.11,0.12,0.05412234528501847,0.05412234528501847,,,,skip,state_event_mismatch
